name,address,country,phone,website
IL MIO MONDO MONTESSORI,"Calz. Gral. Mariano Escobedo 117, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico"," Mexico",55 5386 0794,http://www.ilmiomondom.com/
Colegio María Montessori,"Av. Benjamín Franklin No. 164, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"," Mexico",55 5277 8214,http://mariamontessori.edu.mx/
Montessori School Mexico City AC,"Sierra Fría 355, Lomas de Chapultepec, Miguel Hidalgo, 11000 Miguel Hidalgo, CDMX, Mexico"," Mexico",55 5540 4036,https://www.montessorimexico.edu.mx/
Colegio Montessori del Bosque,"Gobernador Tiburcio Montiel 25 A, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX, Mexico"," Mexico",55 5515 1534,http://www.montessoridelbosque.com/
Colegio Ma Montessori Escandon A.C.,"Av. José Martí 240, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"," Mexico",55 5271 5965,https://www.colegiomm.edu.mx/
Kiddo Montessori,"Felipe Carrillo Puerto 294, Popotla, Miguel Hidalgo, 11400 Ciudad de México, CDMX, Mexico"," Mexico",55 2500 2265,https://kiddomontessori.com/
MARIA MONTESSORI SCHOOL,"Av Progreso 190, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"," Mexico",55 5515 6706,https://www.colegiomm.edu.mx/
Montessori Maijaniu,"Av. Ejército Nacional Mexicano, Militar, Miguel Hidalgo, 11500 Ciudad de México, CDMX, Mexico"," Mexico",55 5395 5762,campo no disponible
Escuela Montessori Mercedes Benet,"Polanco, Av. Ejército Nacional Mexicano 1137, Col. Irrigación, Miguel Hidalgo, 11500 Ciudad de México, CDMX, Mexico"," Mexico",55 5557 3143,http://montessorimbenet.edu.mx/mmb/
CORIMA MONTESSORI,"1a. Cerrada Ignacio Allende 29, Amp Torre Blanca, Miguel Hidalgo, 11289 Ciudad de México, CDMX, Mexico"," Mexico",55 3027 2743,http://www.corimamontessori.com/
IL MIO MONDO MONTESSORI,"Hegel 205, Polanco, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico"," Mexico",55 2624 0236,http://www.ilmiomondom.com/
Summit Montessori,"Sierra, Muinura 29, Reforma Soc, Miguel Hidalgo, 11650 Ciudad de México, CDMX, Mexico"," Mexico",55 6391 5096,campo no disponible
Mi casita Montessori Holista,"Rtno. 102 15, Lomas de Sotelo, Miguel Hidalgo, 11200 Ciudad de México, CDMX, Mexico"," Mexico",55 5097 1687,campo no disponible
IPM Montessori Nuevo Polanco,"Calz Legaria 549, 10 de Abril, Miguel Hidalgo, 11250 Miguel Hidalgo, CDMX, Mexico"," Mexico",55 5395 0488,https://www.ipmmontessori.edu.mx/
Colegio Montessori Del Bosque,"Calle Gral. Juan Cano 153, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
Maria Montessori,"no.,, Av de las Palmas 6, Miguel Hidalgo, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
IPM Montessori Suderman,"Av. Sudermann 152, Polanco, Polanco V Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,https://www.ipmmontessori.edu.mx/
Mi Montessori,"Galileo 329, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico"," Mexico",55 5531 0294,campo no disponible
IPM Montessori Polanco,"Eugenio Sue 125, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Miguel Hidalgo, CDMX, Mexico"," Mexico",55 5281 4027,https://www.ipmmontessori.edu.mx/
INSTITUTO INTERNACIONAL MONTESSORI SC,"Dallas 59, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX, Mexico"," Mexico",55 6382 9260,http://www.facebook.com/Instituto-Internacional-Montessori-1629237770668366/?fref=ts
Kinder y Maternal Yaxcheel Montessori,"Av Tecamachalco 106, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico"," Mexico",55 5282 4297,http://yaxcheelmontessori.edu.mx/
IPM Montessori Lomas de Chapultepec,"C. Montes Urales 772, Lomas - Virreyes, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico"," Mexico",55 2120 7348,https://www.ipmmontessori.edu.mx/
Colegio Montessori,"Av. P.º de la Reforma 1210, Lomas de Chapultepec, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,http://eamontessori.edu.mx/
.Il Mio Mondo.,"Av Narciso Mendoza 5, 11610 Miguel Hidalgo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Montessori Children´s School,"Maravatio 242, entre Heliópolis y Nilo, Claveria, Azcapotzalco, 02080 Ciudad de México, CDMX, Mexico"," Mexico",55 5396 4597,http://montchildrensschool.edu.mx/
Montessori Children´S School,"Calle Texcoco No. 161, Claveria, Azcapotzalco, 02080 Ciudad de México, CDMX, Mexico"," Mexico",55 7392 3908,https://www.montchildrensschool.edu.mx/principal.asp
Colegio de Educación Montessori,"Juan Sarabia 137, Nueva Santa María, Azcapotzalco, 02800 Ciudad de México, CDMX, Mexico"," Mexico",55 5355 2558,https://www.coledmontessori.com/
Montessori de la Condesa (Preschool and Primary),"Aguascalientes 190, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico"," Mexico",55 5574 6537,http://www.mdlc.com.mx/
Montessori Kalpilli,"Calle Av. Dos 48, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX, Mexico"," Mexico",55 4888 5013,http://kalpilli.com/
Canadian Montessori,"Eje 3 Nte. Camarones 232, Obrero Popular, Azcapotzalco, 02840 Ciudad de México, CDMX, Mexico"," Mexico",55 5341 7705,campo no disponible
Impulso Pedagógico Mexicano,"Bosques de Alisos 5, Bosques de las Lomas, Cuajimalpa de Morelos, 05120 Cuajimalpa de Morelos, CDMX, Mexico"," Mexico",55 2591 9197,https://www.ipmmontessori.edu.mx/
EL COLE MONTESSORI,"Fábrica de Armas 18, Lomas del Chamizal, Cuajimalpa de Morelos, 05129 Ciudad de México, CDMX, Mexico"," Mexico",55 5596 9086,http://www.elcole.edu.mx/
Montessori de la Condesa (Comunidad Infantil),"Culiacan 83, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,https://mdlc.edu.mx/
Colegio Montessori El Papalote,"Benjamín de Tudela, Lomas de Capúla, Álvaro Obregón, 01270 Ciudad de México, CDMX, Mexico"," Mexico",55 3671 6779,campo no disponible
Jardín de Niños María Montessori,"Calz. Gobernador Salvador Sánchez Colín Manzana 082, Ahuizotla, 53370 Naucalpan de Juárez, Méx., Mexico"," Mexico",55 5560 8466,https://digitalagencytbilisi.com/es/inicio/
COCOMO (Montessori),"Culiacan 86, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico"," Mexico",55 7159 3166,campo no disponible
KPM,"Avenida Mazatlan 173, Colonia Condesa, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico"," Mexico",55 5212 1883,http://kpm.edu.mx/
"Asociacion Montessori De Mexico, A.C.","Calle Av. Dos 48, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
Kuni Montessori,"Cuernavaca 16, Colonia Condesa, Cuauhtémoc, 06140 Ciudad de México, CDMX, Mexico"," Mexico",55 5553 0987,http://kuni.com.mx/
Curso Montessori,"Calle Av. Dos, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
IPM Montessori Reforma,"Hamburgo 303, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,https://www.ipmmontessori.edu.mx/
BAMBINI MONTESSORI,"Fuente de Mercurio 41, Lomas de Tecamachalco, 53950 Naucalpan de Juárez, Méx., Mexico"," Mexico",55 5589 3161,campo no disponible
IPM Condesa,"Av Nuevo León 101, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico"," Mexico",55 2155 6430,https://www.ipmmontessori.edu.mx/
Montessori Babys House,"C. Toronja No. 220, Nueva Santa María, Azcapotzalco, 02800 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
Yayatia Montessori,"Roberto Gayol 23, DEL VALLE, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico"," Mexico",55 5559 9400,campo no disponible
Gabbiano MONTESSORI,"Primera Cda. Guadalajara 54, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico"," Mexico",55 5264 0219,campo no disponible
Montessori Baby´s House,"Guanabana 331, Hogar y Seguridad, Azcapotzalco, 02800 Ciudad de México, CDMX, Mexico"," Mexico",55 5556 3158,campo no disponible
Centro Infantil Montessori Pimpollo,"Londres 44, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico"," Mexico",campo no disponible,campo no disponible
"Jardin De Niños ""Maria Montessori""","Abraham Sánchez 185, San Pedro Xalpa, Azcapotzalco, 02710 Ciudad de México, CDMX, Mexico"," Mexico",56 2752 8467,https://jardinmariamontess.wixsite.com/privada
Calli Nenets Montessori,"Torres Adalid 626, Col del Valle Centro, Benito Juárez, 03103 Ciudad de México, CDMX, Mexico"," Mexico",55 5687 6171,http://www.nenetcalli.edu.mx/
