name,address,country,phone,website
Colegio Montesori,"C. Mariano Matamoros 505 Sur, Francisco Murguía, 50130 Toluca de Lerdo, Méx., Mexico"," Mexico",722 215 9032,http://www.montessoritoluca.edu.mx/
Somos Montessori,"esquina con Gral, Laguna de La Gavia, Calle Gral Roque González G. s/n, Ocho Cedros, 50170 Toluca de Lerdo, Méx., Mexico"," Mexico",715 121 1259,campo no disponible
Colegio Agra Montessori,"1011, Av. Miguel Hidalgo Ote. Poniente-A, Barrio de San Bernardino, 50080 Toluca de Lerdo, Méx., Mexico"," Mexico",722 371 2511,https://agramontessori.edu.mx/
Jardin de Niños María Montessori,"Ligeros de Toluca Manzana 004, Héroes del 5 de Mayo, 50170 Toluca de Lerdo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Colegio Montessori Nemi,"50040, Fray Juan de Zumarraga 104, Electricistas Locales, 50040 Toluca de Lerdo, Méx., Mexico"," Mexico",722 773 0092,https://www.facebook.com/ColegioMontessoriNemi/
Siloe Montessori,"Ing. Rafael García Moreno 607, 5 de Mayo, 50130 Toluca de Lerdo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Montessori,"Juan Álvarez 301-303, Francisco Murguía, 50130 Toluca de Lerdo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Instituto Maria Montessori,"Calle Rafael M. Hidalgo 606, Cuauhtémoc, 50130 Toluca de Lerdo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Green house Montessori,"Ing. Rafel García Moreno 601, Cuauhtémoc, 50130 Toluca de Lerdo, Méx., Mexico"," Mexico",722 384 8621,campo no disponible
Jardín de Niños María Montessori,"Vicente Guerrero 14, Centro, 56600 Toluca de Lerdo, Méx., Mexico"," Mexico",55 5973 0685,campo no disponible
Centro pedagógico Espacio Montessori,"J. Ma. Heredia 111, 5 de Mayo, 50090 Toluca de Lerdo, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
Vive Montessori,"Luis Donaldo Colosio 305, Delegación Capultitlán, 50260 Capultitlán, Méx., Mexico"," Mexico",722 785 3681,https://www.facebook.com/natussori?mibextid=ZbWKwL
INSTITUTO MONTESSORI,"Josefa Ortiz de Domínguez 494, COLONIA, Casa Blanca, 50160 Santa Ana Tlapaltitlán, Méx., Mexico"," Mexico",campo no disponible,campo no disponible
